generated_intro,generated_intro_len
"Sexhow railway station was a railway station located in the town of Sexhow, on the Cumbrian Coast Line in North West England. The station was opened by the Lancashire and Yorkshire Railway on 7 October 1870. It was closed to passengers on 5 January 1950, and to goods on 12 May 1965. 

The station building is now a private residence. There is a small amount of trackage remaining near the building, used currently by a local agricultural business.",78
"In Finnish folklore, all places and things, animate or inanimate, have a spirit or ""etiäinen"" that lives there. Etiäinen can manifest in many forms, but is usually described as a kind, elderly woman with white hair. She is the guardian of natural places and often helps people in need. Etiäinen has been a part of Finnish culture for centuries and is still widely believed in today. Folklorists study etiäinen to understand Finnish traditions and how they have changed over time.",80
"In mathematics, specifically differential calculus, the inverse function theorem states that for every real-valued function there exists an inverse function that satisfies the following two conditions:

1. The inverse function is continuous at every point where the original function is continuous.
2. The inverse function is unique up to a constant multiple of the given function's derivative at any given point.",59
"is a Japanese shōjo manga series written and illustrated by Maki Fujii. The series follows the life of Nanami Takahashi, a high school student who is struggling to find her place in the world. Nanami Takahashi has always been a bit of an outsider. She's not verypopular at school, and she doesn't have many friends. That's why she's excited when she gets a new couch to sit on at her grandparent's house. But when Nanami steps on one of the roses in her grandfather's garden, she accidentally destroys them. The Roses are special to him and Nanami feels really bad. She decides to try and make up for it by doing some chores for her grandparent, but things don't go as planned...",121
"Robert Milner ""Rob"" Bradley, Jr. (born August 29, 1973) is an American former professional baseball player. He played in Major League Baseball (MLB) for the Boston Red Sox, Cincinnati Reds, and Chicago White Sox from 1995 to 2006.

Bradley attended the University of Southern California (USC) and played college baseball for the USC Trojans. He was drafted by the Red Sox in the first round of the 1995 MLB draft. Bradley made his MLB debut in 1995 and was a part of the Red Sox team that won the World Series in 2004. He finished his career with a .286 batting average, 243 home runs, and 901 RBIs.

After retiring from baseball, Bradley became a color commentator for MLB on Fox and Fox Sports Midwest. He also works as a coach for the United States national baseball team.",136
"Moluccans are the Austronesian-speaking and Papuan-speaking ethnic groups inhabiting the Maluku Islands. The term ""Moluccan"" is an umbrella term that covers the various Austronesian and Papuan languages spoken on the islands. The largest group of Moluccans are the Tolo-speaking people. The Maluku Islands are a group of volcanic islands in eastern Indonesia, located about 1,000 kilometres east of Java and 2,000 kilometres south of New Guinea. The islands comprise over 700 islands, with a total land area of approximately 245,000 square kilometres. They have a population of around 1 million people, most of whom are Muslim. The largest island group is the Tolo-speaking region, which comprises over 60% of the population. The Moluccas were first explored by Europeans in 1512. Portuguese explorer João da Nova discovered Ternate and Tidore, while Dutch explorer Jacob Roggeveen discovered Halmahera and Bougainville. The Moluccas were later visited by Spanish explorer Ferdinand Magellan in 1521. British explorer James Cook visited Ternate, Tidore, Halmahera, and Bougainville during his first voyage in 1770–71.",164
"HarperOne is a publishing imprint of HarperCollins, specializing in books about American history and culture. The imprint was founded in 1992, by Bob Bernstein and Michael Morrison.

HarperOne has published a number of critically acclaimed books, including ""The Death of Lincoln"" by Abraham Lincoln historian David Herbert Donald, ""The Unfinished Revolution"" by 16th president of the United States James K. Polk, ""The Civil War"" by Allan Nevins, ""The American Republic"" by Richard Hofstadter, and ""The Great American Novel"" by Edmund Wilson.",80
"In computer science and mathematics, a full employment theorem is a theorem stating that for any given set of available resources, there exists a unique unemployment equilibrium in which there are no unemployed people.

The full employment theorem is a result of the theory of market equilibrium and was first proposed by Pareto in 1895. The theorem states that if the market has the ability to create full employment, then there will be no unemployment.

There are a few conditions that must be met for the theorem to hold:
1) There must be enough resources available to meet demand.
2) The market must be able to create jobs at the same rate as people enter and leave the workforce.
3) The rate at which jobs are created must be equal to the rate at which people want to work.",134
"""Pussy Fairy (OTW)"" (stylized as ""P*$$Y Fairy"") is a Japanesepop group formed in 2010. consisting of four members: Yukari Tamura, Yui Hatano, Rina Sato and Karen Uehara.

The group's name derives from the term ""pussy pass,"" which is a term used by Japanese men to describe female genitalia. Their music is often described as ""kawaii"" and ""pink.""

Pussy Fairy released their debut single ""Kimi no Kioku"" on January 10, 2010. The song was used as the opening theme for the anime television series ""Kimi no Na Wa."" The song peaked at number four on the Japan Oricon Singles Chart and was certified platinum by the Recording Industry Association of Japan. The follow-up single, ""Omoide ga Iru Kara,"" was released on May 3 and reached number two on the Japan Oricon Singles Chart.",130
"Qasr Ibrahim (Ibrahim Palace) is a historical palace in Saint Petersburg, Russia. It is located on the Fontanka River, southeast of the Winter Palace. 

The construction of the palace began in 1754 on the orders of Empress Elizabeth I for her son, Peter III. The palace was built as a residence for the imperial family and remained their primary residence until 1918. From 1918 to 1924 it served as the official residence of the Russian provisional government during the Russian Revolution. 

The palace has been used as a museum since 1924 and is now part of the State Hermitage Museum.",100
"Somewhere Somehow is the fourth studio album by American rock band The Paper Kites, released on September 18, 2016.

The album was produced by Dave Fridmann (The Flaming Lips, MGMT) and recorded at his Tarbox Road Studios in upstate New York. It was preceded by the release of the lead single ""Somewhere Somehow"" on July 8, 2016. 

The album has been widely acclaimed by critics and debuted at number one on the Billboard Top Rock Albums chart. It has also been nominated for a Grammy Award in the Best Rock Album category.",91
"The A5120 is an A-class road in the United Kingdom, running from the Scottish Borders to the English border.

The A5120 is a rural road, passing through the counties of Roxburgh and Berwick-upon-Tweed. The road is mainly single carriageway, but there are a few sections with dual carriageway. The A5120 runs through beautiful countryside, and is a popular route for tourists travelling to Scotland and England.",65
"FORGE is a United States-based nonprofit organization with the mission of advancing the development of open source software. FORGE provides resources, training, and mentorship to help organizations build better software using open source tools.

FORGE was founded in 2005 by developers from Google and Yahoo! who wanted to make open source development more accessible and helpful for organizations. Today, FORGE has over 1,000 members from a wide range of industries, including technology, finance, healthcare, government, and education.

The FORGE Program provides resources and training to help organizations build better software using open source tools. The FORGE Program offers three levels of membership: Bronze, Silver, and Gold. These levels offer different benefits, including access to FORGE's online resources library, monthly webinars on open source development topics, and quarterly workshops held in various locations around the world. 

FORGE also works with a number of partner organizations to offer additional services such as code reviews and enterprise support. Recently, FORGE partnered with SourceForge to provide enterprise support for open source projects on the SourceForge platform.",170
"Jai Bhim  is a 2021 Indian action film directed by Sajid Khan and produced by Fox Star Studios. The film stars Akshay Kumar, Riteish Deshmukh, and Tamannaah Bhatia in lead roles.

The story is set in the fictional town of Jai Bhim. It follows Bhim (Akshay Kumar), a humble taxi driver who is wrongly accused of a crime he did not commit, and his quest to clear his name and restore justice to his town. 

Development on the film began in early 2019, with Khan directing from a screenplay he wrote himself. Principal photography began in November that year in Mumbai and continued in other parts of Maharashtra until May 2020. The film was shot using anamorphic lenses, to give it a ""grittier"" look.

Jai Bhim was released worldwide on 3 June 2021, to generally positive reviews from critics. It grossed over $120 million worldwide, making it one of the highest-grossing Indian films of all time.",155
"The Central Connecticut Conference (CCC) is an NCAA Division I conference in the United States. The conference was founded in 1973 as the New England Collegiate Conference (NEC). In 2002, the NEC merged with the Yankee Conference to form the CCC. The conference has ten members: Bryant, Central Connecticut State, Eastern Connecticut State, Fairfield, Hartford, Sacred Heart, Western Connecticut State, and Yale.",62
"The Borderland series of urban fantasy novels by New York Times best-selling author Patricia Briggs is set in a world where the border between our world and the Fae realm is permeable and sometimes difficult to spot. The series follows a group of humans and Fae who live and work in this borderland, and their struggles to keep the two worlds separate.

The first book in the series, The Shift, was published in 2004 and tells the story of sheriff Kaylee Sullivan, who is called to investigate a series of disappearances on the other side of the border. As she investigates, she discovers that the Fae are using humans as pawns in a larger game, and she must fight to protect her friends and avert a Fae invasion of her home town.

The Borderland series has been praised for its well-developed characters and its intricate plot. Fans of urban fantasy novels are sure to enjoy the series, which is suitable for all ages.",161
"Xian  refers to a person or thing that is in the middle, in between, or at an intermediate stage. It can also mean a place or state of equilibrium or balance. The name ""Xian"" is composed of the characters ""xian"" meaning ""in the middle"" or ""intermediate"", and ""ren"" meaning ""person or thing"". 

The Xian in Taoism refers to a person who is in the middle of the process of becoming Tao, or the ultimate truth. This person has to go through a lot of trials and tribulations in order to reach their goals. They have to be willing to change and adapt, and they must be willing to let go of things that are no longer necessary.",118
"Death of Cook is the name of a small, unidentified extinct hominin species. It is so far the only known member of its genus and family.

The death of Cook is a remarkable event in the history of human evolution. Cook's remains were discovered in 2003 at the site of a archaeological excavation in Kibish, Ethiopia, and have provided new insights into the human lineage.

Cook was about 1.5 meters tall and had an estimated weight of about fifty kilograms. He had a small skull and robust body proportions typical of early Homo sapiens. His teeth and bones suggest that he ate a diet rich in animal matter, which may have contributed to his robust physique.

Cook's remains provide new clues about our evolutionary history and the origins of early Homo sapiens. His discovery suggests that our ancestors were more physically robust and capable than previously thought, and that they may have been able to survive in colder climates than previously thought.",159
"The history of Madagascar is distinguished clearly from that of neighbouring islands by its unique blend of traditional and colonial influences. The first inhabitants of Madagascar are thought to have arrived from Africa about 65,000 years ago. For the next 10,000 years or so, Madagascar was united with other islands, first as part of the African continent and then as part of the Indian subcontinent. From the 16th century until the 18th century, Madagascar was a Dutch colony. In 1795 it became a French colony. The French colonial period lasted until 1960, when Madagascar became an independent republic. Between 1960 and 2009, Madagascar was ruled by three successive presidents: Philibert Tsiranana (1960-1968), Marc Ravalomanana (1968-1978), and Marc Antoine Rajoelina (1978-2009). In 2009, a military coup d'état led by Andry Rajoelina forced president Tsiranana into exile and replaced him with Hery Rajaonarimampianina. Rajaonarimampianina was convicted of corruption in 2013 and sentenced to life in prison; he remains in office despite numerous requests for his removal from the Malagasy government. The island of Madagascar is located in the Indian Ocean off the southeast coast of Africa. The island is separated from India by the Mozambique Channel and from Africa by the Réunion Channel. The total land area is approximately 25,000 square kilometres (10,000 square miles). The",214
"The Sony α NEX-7 is a digital mirrorless interchangeable lens camera announced by Sony on February 3, 2014. It replaces the discontinued NEX-5R, and is the successor to the NEX-5.",30
"Israel (Yisrol) Grodner (; ca. 1848 – February 2, 1914) was a Romanian-born Hungarian rabbi and scholar of the Chassidic movement. He is best known as the author of the seminal work on Chassidic thought, ""Tanya"". Israel Grodner was born in 1848 in Botești, Moldavia, then part of the Russian Empire. After studying at the University of Moscow and at the University of Vienna, he became rabbi of Sfântu Gheorghe, Romania in 1881. He is best known for his work on Chassidism, which he began publishing in 1896. Grodner died in 1914.",91
"Cimarron is a 1931 pre-Code epic Western film directed by John Ford and starring Henry Fonda and Barbara Stanwyck. The story of Cimarron is set in 1849 in the Texas Territory. John Ringo, a young man of mixed Spanish and American Indian heritage, is falsely accused of murdering a white man. He flees to Mexico and becomes a bandit, but eventually is pardoned by the Mexican government and returns to Texas. There he meets and falls in love with the beautiful Barbara Stanwyck. When Ringo learns that his family is being threatened by the man who falsely accused him, he sets out to find and kill him. Along the way he encounters a group of people who are trying to find their way in a new world – farmers, trappers, outlaws, and cowboys.",132
"Melvin Henry Roberts (January 18, 1943 – October 17, 1995) was an American professional baseball player. A catcher, he played in Major League Baseball (MLB) for the Baltimore Orioles, Cincinnati Reds, and Boston Red Sox from 1966 to 1978. Roberts was born in Memphis, Tennessee and attended Booker T. Washington High School in Memphis. He played college baseball for the University of Mississippi (Ole Miss), where he was a First Team All-American in 1964. The following year, he was drafted by the Baltimore Orioles in the first round of the 1965 MLB draft. Roberts made his MLB debut with the Orioles in 1966 and became a regular player over the next four seasons. He was traded to the Cincinnati Reds in 1976 and then to the Boston Red Sox in 1978. In 1979, he was named an All-Star for the first time. After finishing his career with the Red Sox in 1978, Roberts became a coach for the Baltimore Orioles. He died of cancer at age 50 in 1995.",167
"Love Season is the debut studio album by American singer-songwriter Brett Eldredge. The album was released on May 5, 2018, by Atlantic Records. The album was produced by Greg Kurstin and features collaborations with Meghan Trainor, Little Big Town, and Kelly Clarkson. The album debuted at number one on the ""Billboard"" 200 chart and has since been certified Platinum by the Recording Industry Association of America (RIAA). Love Season received mixed reviews from music critics. At Metacritic, which assigns a normalized rating out of 100 to reviews from mainstream publications, the album received an average score of 58, based on 17 reviews. In a positive review for ""Rolling Stone"", David Fricke wrote that Eldredge is ""a captivating singer with a winning voice and knack for finding the right song to tell his story"", concluding that ""Love Season is an engaging debut"". In a mixed review for ""The Observer"", Kitty Empire called the album ""middling"" and said that ""Eldredge's lacklustre lyrics get lost in production that hews too closely to the current Top 40 template"". ","171
"
"Lidia Karen Zapata Campos (born 28 December 1971) is a Mexican politician affiliated with the Institutional Revolutionary Party. From 2007 to 2009 she served as Deputy of the LX Legislature of the Mexican Congress representing Aguascalientes. Karen Zapata was born in Aguascalientes, Mexico on December 28, 1971. She studied at the Universidad Autónoma de Aguascalientes and subsequently worked as a journalist for various local media outlets. In 2007, Zapata was elected to represent Aguascalientes in the LX Legislature of the Mexican Congress. During her time in office, she served as the Chair of the Commission on Social Development and as a member of the Committees on Women’s Rights, Education, and Human Rights. In 2009, Zapata was appointed Deputy Secretary for Social Welfare and Development by President Felipe Calderón. During her tenure, she worked to improve access to social services for low-income families, expand healthcare coverage for children, and develop policies to reduce child poverty. Karen Zapata is married and has two children.",158
"On September 13, 2020, most of the Princess Bride cast will reunite for a Princess Bride Reunion at the Hollywood Bowl in Los Angeles, California. The event is being organized by Cary Elwes, who played Westley, and Robin Wright, who played Inigo Montoya.

The Princess Bride was released on March 25, 1987 and became a cult classic. The film is set in Florin Province, which is based on the Spanish province of Galicia. The story follows Westley (Cary Elwes), a swashbuckling man-about-town who is mistakenly kidnapped by the Dread Pirate Roberts (Mandy Patinkin) and brought to the castle of Inigo Montoya (Robin Wright), an intense Spaniard who is a skilled swordsman. Westley falls in love with Princess Buttercup (Robin Wright), the beautiful daughter of the kingdom's ruler, Fezzik (Joel David Moore). In order to free Westley and defeat Montoya, Buttercup must first win over her heart.",145
"Hatanpää is a district in Tampere, Finland. It is located in the southeastern part of the city, bordering the districts of Keski-Tampere, Orivesi, and Vallila. The population of Hatanpää was 21,288 as of December 31, 2010. The name Hatanpää is a compound word consisting of ""hata"", meaning fox, and ""pää"", meaning hill. The district takes its name from the hill on which the old Hatanpää Market used to be located. The market was demolished in the early 1960s and replaced by a shopping center. Hatanpää is home to Tampere University of Technology (TUT), which has a large campus in the district. Other important institutions in Hatanpää include Tampere Hospital, Hatanpää Church, and Hatanpää primary school.",114
"WMML (1230 AM) is a radio station broadcasting a News/Talk format. Licensed to Jackson, Mississippi, it serves the Jackson metropolitan area. The station is currently owned by Jackson Media LLC.

WMML first went on the air on December 12, 1970, as WQIK-FM, broadcasting a Top 40 format. In 1979, the station changed its call letters to WMGK and switched to a Country music format. In 1985, the station changed its call letters to WQMJ and became an all-news radio station. In 2000, WQMJ became WMML and switched to a News/Talk format.",90
"In October, 1982, three members of an Litton Industries subsidiary were killed when a truck laden with explosives detonated in a San Francisco parking lot. The attack was the deadliest terrorist act in United States history until the September 11th, 2001 attacks.",42
"The Denver Guardian was a fake news website that purported to be a news outlet for the city of Denver, Colorado. The website was created in November 2017 by an unknown person or persons, and purports to be a satirical news website.

The Denver Guardian was created as a satirical news website in November 2017. The website purports to be a news outlet for the city of Denver, Colorado, but is actually a fake news website. The website is designed to parody real-world news outlets and hoax stories that have circulated on social media.

The Denver Guardian has published articles that are designed to parody real-world news stories, such as a story about an outbreak of Shigella in the city of Denver. The website also publishes articles that are fabricated hoaxes, such as a story about the president of the United States being arrested in the city of Denver.",147
"The Raven's Claw is an all-male senior society founded at Yale University in 1825. The society has an elaborate secret handshake, a tradition of wearing black corduroy pants, and a clubhouse on Old Campus.

Founded at Yale University in 1825, the Raven's Claw is an all-male senior society with an elaborate secret handshake and a tradition of wearing black corduroy pants. The society's clubhouse is located on Old Campus. Members of the Raven's Claw often participate in philanthropy and service projects.",80
"The Helena Confederate Cemetery is located in Helena, Arkansas. It is one of the few Confederate cemeteries in the United States. The original cemetery was founded in 1865, and it was enlarged in 1866 and 1892. The cemetery is maintained by the Helena American Civil War Memorial Association.

The Helena Confederate Cemetery is located in Helena, Arkansas. It is one of the few Confederate cemeteries in the United States. The original cemetery was founded in 1865, and it was enlarged in 1866 and 1892. The cemetery is maintained by the Helena American Civil War Memorial Association.",95
"Plutopia: Nuclear Families, Atomic Cities, and the Quest for a Perfect Future is a book by Kirkpatrick Sale about the history of ideas about the future, from utopianism to post-apocalyptic fiction.

The book covers a wide range of topics, from nuclear families and atomic cities to the quest for a perfect future. It provides an in-depth look at how different people have imagined the future, and how these ideas have shaped our world today.

Plutopia is an exploration of the many ways that people have imagined the future, from utopianism to post-apocalyptic fiction. It provides an in-depth look at how different people have conceived of the perfect world, and how these concepts have shaped our world today.",115
"Wolfgang Solz (12 February 1940 – 24 October 2017) was a German conductor. Wolfgang Solz was born in Würzburg, Germany. He began his musical training as a violinist at the age of six and later studied composition with Heinrich Schenker and conducting with Karl Richter. He made his conducting debut with the Würzburg Symphony Orchestra in 1960. Solz served as the music director of the Dresden State Opera from 1978 to 1997 and the Bavarian State Opera from 1997 to 2005. He also served as the music director of the Berlin State Opera from 1991 to 2005, and was named honorary conductor of the Bayreuth Festival in 2003. Solz died on 24 October 2017, aged 80.",113
